Epoch [375/2000], Average Loss: 0.000290, Current_LR:0.0005
Epoch [376/2000], Average Loss: 0.000290, Current_LR:0.0005
Epoch [377/2000], Average Loss: 0.000283, Current_LR:0.0005
Epoch [378/2000], Average Loss: 0.000290, Current_LR:0.0005
Epoch [379/2000], Average Loss: 0.000297, Current_LR:0.0005
Epoch [380/2000], Average Loss: 0.000289, Current_LR:0.0005
Epoch [381/2000], Average Loss: 0.000289, Current_LR:0.0005
Epoch [382/2000], Average Loss: 0.000292, Current_LR:0.0005
Epoch [383/2000], Average Loss: 0.000291, Current_LR:0.0005
Epoch [384/2000], Average Loss: 0.000292, Current_LR:0.0005
Epoch [385/2000], Average Loss: 0.000292, Current_LR:0.0005
Epoch [386/2000], Average Loss: 0.000284, Current_LR:0.0005
Epoch [387/2000], Average Loss: 0.000285, Current_LR:0.0005
Epoch [388/2000], Average Loss: 0.000290, Current_LR:0.0005
Epoch [389/2000], Average Loss: 0.000288, Current_LR:0.0005
Epoch [390/2000], Average Loss: 0.000281, Current_LR:0.0005
Epoch [391/2000], Average Loss: 0.000284, Current_LR:0.0005
Epoch [392/2000], Average Loss: 0.000280, Current_LR:0.0005
Epoch [393/2000], Average Loss: 0.000288, Current_LR:0.0005
Epoch [394/2000], Average Loss: 0.000285, Current_LR:0.0005
Epoch [395/2000], Average Loss: 0.000278, Current_LR:0.0005
Epoch [396/2000], Average Loss: 0.000278, Current_LR:0.0005
Epoch [397/2000], Average Loss: 0.000286, Current_LR:0.0005
Epoch [398/2000], Average Loss: 0.000289, Current_LR:0.0005
Epoch [399/2000], Average Loss: 0.000288, Current_LR:0.0005
Epoch [400/2000], Average Loss: 0.000286, Current_LR:0.0005
Epoch [401/2000], Average Loss: 0.000279, Current_LR:0.0005
Epoch [402/2000], Average Loss: 0.000282, Current_LR:0.0005
Epoch [403/2000], Average Loss: 0.000286, Current_LR:0.0005
Epoch [404/2000], Average Loss: 0.000282, Current_LR:0.0005
Epoch [405/2000], Average Loss: 0.000289, Current_LR:0.0005
Epoch [406/2000], Average Loss: 0.000282, Current_LR:0.0005
Epoch [407/2000], Average Loss: 0.000280, Current_LR:0.0005
Epoch [408/2000], Average Loss: 0.000276, Current_LR:0.0005
Epoch [409/2000], Average Loss: 0.000281, Current_LR:0.0005
Epoch [410/2000], Average Loss: 0.000276, Current_LR:0.0005
Epoch [411/2000], Average Loss: 0.000280, Current_LR:0.0005
Epoch [412/2000], Average Loss: 0.000276, Current_LR:0.0005
Epoch [413/2000], Average Loss: 0.000278, Current_LR:0.0004
Epoch [414/2000], Average Loss: 0.000273, Current_LR:0.0004
Epoch [415/2000], Average Loss: 0.000281, Current_LR:0.0004
Epoch [416/2000], Average Loss: 0.000285, Current_LR:0.0004
Epoch [417/2000], Average Loss: 0.000282, Current_LR:0.0004
Epoch [418/2000], Average Loss: 0.000276, Current_LR:0.0004
Epoch [419/2000], Average Loss: 0.000282, Current_LR:0.0004
Epoch [420/2000], Average Loss: 0.000279, Current_LR:0.0004
Epoch [421/2000], Average Loss: 0.000279, Current_LR:0.0004
Epoch [422/2000], Average Loss: 0.000274, Current_LR:0.0004
Epoch [423/2000], Average Loss: 0.000279, Current_LR:0.0004
Epoch [424/2000], Average Loss: 0.000272, Current_LR:0.0004
