Experiment name: EXP_2_1
Epoch [283/1000], Average Loss: 0.000254, Current_LR:0.0004
Epoch [284/1000], Average Loss: 0.000256, Current_LR:0.0004
Epoch [285/1000], Average Loss: 0.000262, Current_LR:0.0004
Epoch [286/1000], Average Loss: 0.000251, Current_LR:0.0004
Epoch [287/1000], Average Loss: 0.000261, Current_LR:0.0004
Epoch [288/1000], Average Loss: 0.000263, Current_LR:0.0004
Epoch [289/1000], Average Loss: 0.000259, Current_LR:0.0004
Epoch [290/1000], Average Loss: 0.000261, Current_LR:0.0004
Epoch [291/1000], Average Loss: 0.000251, Current_LR:0.0004
Epoch [292/1000], Average Loss: 0.000248, Current_LR:0.0004
Epoch [293/1000], Average Loss: 0.000249, Current_LR:0.0004
Epoch [294/1000], Average Loss: 0.000252, Current_LR:0.0004
Epoch [295/1000], Average Loss: 0.000258, Current_LR:0.0004
Epoch [296/1000], Average Loss: 0.000254, Current_LR:0.0004
Epoch [297/1000], Average Loss: 0.000257, Current_LR:0.0004
Epoch [298/1000], Average Loss: 0.000242, Current_LR:0.0004
Epoch [299/1000], Average Loss: 0.000256, Current_LR:0.0004
Epoch [300/1000], Average Loss: 0.000248, Current_LR:0.0004
Epoch [301/1000], Average Loss: 0.000249, Current_LR:0.0004
Epoch [302/1000], Average Loss: 0.000242, Current_LR:0.0004
Epoch [303/1000], Average Loss: 0.000259, Current_LR:0.0004
Epoch [304/1000], Average Loss: 0.000250, Current_LR:0.0004
Epoch [305/1000], Average Loss: 0.000247, Current_LR:0.0004
Epoch [306/1000], Average Loss: 0.000244, Current_LR:0.0004
Epoch [307/1000], Average Loss: 0.000236, Current_LR:0.0004
Epoch [308/1000], Average Loss: 0.000251, Current_LR:0.0004
Epoch [309/1000], Average Loss: 0.000246, Current_LR:0.0004
Epoch [310/1000], Average Loss: 0.000247, Current_LR:0.0004
Epoch [311/1000], Average Loss: 0.000248, Current_LR:0.0004
Epoch [312/1000], Average Loss: 0.000249, Current_LR:0.0004
Epoch [313/1000], Average Loss: 0.000249, Current_LR:0.0004
Epoch [314/1000], Average Loss: 0.000242, Current_LR:0.0004
Epoch [315/1000], Average Loss: 0.000252, Current_LR:0.0004
Epoch [316/1000], Average Loss: 0.000245, Current_LR:0.0004
Epoch [317/1000], Average Loss: 0.000246, Current_LR:0.0004
Epoch [318/1000], Average Loss: 0.000238, Current_LR:0.0004
Epoch [319/1000], Average Loss: 0.000239, Current_LR:0.0004
Epoch [320/1000], Average Loss: 0.000242, Current_LR:0.0004
Epoch [321/1000], Average Loss: 0.000246, Current_LR:0.0004
Epoch [322/1000], Average Loss: 0.000235, Current_LR:0.0004
Epoch [323/1000], Average Loss: 0.000242, Current_LR:0.0004
